slam xy,slam xy covar,slam yaw,slam yaw var,ekf xy,ekf xy covar,ekf yaw,ekf yaw var
"[0.06585854339689828, 0.0014914857753443086]","[[0.0013555181734422746, 1.6193642938386127e-05], [1.6193642938386127e-05, 0.0015920001571740263]]",0.11592987501873606,0.0003142410266955735,"[0.05492383432986016, 0.0016956220375400504]","[[0.010490870087419602, -0.00019974255914790922], [-0.00019974255914790906, 0.010565665547448276]]",0.08330934310395266,0.009468456173859587
"[0.31449193788209856, 0.1510716844090383]","[[0.001400527909157124, -7.081793151767986e-05], [-7.081793151767986e-05, 0.0016893094799614655]]",0.9534865736835823,0.00016996077102548207,"[0.2715593394245732, 0.1244215523220957]","[[0.010258618879128255, -8.861716860584403e-05], [-8.861716860584399e-05, 0.01050691874374917]]",0.9656760037370465,0.009332221405213307
"[0.45293099798788666, 0.5335961841871992]","[[0.001919643186756811, -1.8911521164810539e-06], [-1.8911521164810539e-06, 0.0036397623696365344]]",1.626440161609222,0.0001699096680158249,"[0.4244488345460636, 0.5056684538160798]","[[0.010933295093579397, -0.00014939585514816048], [-0.00014939585514816056, 0.010763440632760373]]",1.6275580860164902,0.00948916225397123
"[0.44694160617540846, 0.9545058114554466]","[[0.0019222172704768089, -0.00032729678192284486], [-0.00032729678192284486, 0.002918750336082548]]",1.4512097146766452,0.00022917756322103468,"[0.4472905219546768, 0.8881191718896393]","[[0.011050834869627742, -1.223587352472412e-05], [-1.2235873524724116e-05, 0.011820267565893978]]",1.4339705692575713,0.009250317716046867
"[0.4697779477094885, 1.3724690350865385]","[[0.0019268892561651219, -8.993883832836413e-05], [-8.993883832836413e-05, 0.002480865633339061]]",1.599514729457068,0.0001214503000203328,"[0.4514507052308848, 1.298777122671108]","[[0.010491942134894128, -0.00022903546092728632], [-0.00022903546092728632, 0.010891910973160513]]",1.6283865391338574,0.008763600092334385
"[0.4712419891591379, 1.6255434354018148]","[[0.001930761519707598, 3.0926250412758605e-05], [3.0926250412758605e-05, 0.002202935430352378]]",1.5401428125204863,0.00013301230847266902,"[0.47322514659978626, 1.5803383118622492]","[[0.01033334000290823, -7.396136908150979e-05], [-7.396136908150991e-05, 0.010647240690312058]]",1.5226588717539054,0.00875417170713103
"[0.4808012689035633, 1.6958218121635538]","[[0.0019075331020839074, -0.0001751358838831147], [-0.0001751358838831147, 0.0025882130783645924]]",1.448232846581605,0.00016840586952584043,"[0.4729695181100555, 1.677613978276102]","[[0.009101369092252358, -0.00011847952969971794], [-0.00011847952969971804, 0.009333418026298449]]",1.482931594051375,0.007671187160246981
"[0.5036971599247305, 1.914766615763223]","[[0.0025563129337257675, -0.0005106231651643618], [-0.0005106231651643618, 0.003007915686801873]]",1.5788496282363318,0.00031097064489148357,"[0.4994236620858687, 1.8809261546214304]","[[0.010291909599626992, -0.00013418299237044504], [-0.00013418299237044488, 0.010653509673803041]]",1.5711022424676155,0.00877442255265969
"[0.502849554542591, 2.334992549318705]","[[0.002437115597319514, -0.0004484287672443697], [-0.0004484287672443697, 0.002788820887694253]]",1.5596163888609622,0.0001679694075611768,"[0.5027300829038563, 2.2453192281501475]","[[0.010667091343583627, -0.0003465256073311206], [-0.000346525607331121, 0.010655266613209391]]",1.5345131652756352,0.008594612753832422
"[0.5060121603138551, 2.7358465408708157]","[[0.0030552195700028466, -0.0004685251192121112], [-0.0004685251192121112, 0.002328275205333148]]",1.5902759789630512,0.00041768857547823233,"[0.49457383938397625, 2.676029293917497]","[[0.011009410024522326, -0.0003071506181516211], [-0.00030715061815162213, 0.010919384486233884]]",1.5863480724463008,0.008864159761248592
"[0.3838982054647384, 3.1242551613782847]","[[0.005716165134349486, -0.00029732223470907236], [-0.00029732223470907236, 0.00261241259968468]]",2.384740286959791,0.0001680335424055355,"[0.39563620518235226, 3.0673279743746744]","[[0.011656917298346283, -0.00018598773716614175], [-0.00018598773716614224, 0.010892375143762088]]",2.3352454604464015,0.009332429482563168
"[0.02793721341865573, 3.3067840508049042]","[[0.0039007773317944064, -0.00025446080330571256], [-0.00025446080330571256, 0.0018602677001900208]]",3.0741511452062698,0.00031066568369739336,"[0.06366719433191, 3.26110056557024]","[[0.012774171763838502, -7.747188497166568e-05], [-7.747188497166553e-05, 0.011243877619406165]]",3.0961248802675776,0.008992375464751538
"[-0.2756204879572495, 3.298659313022763]","[[0.0027018661878204448, 7.445240706077503e-05], [7.445240706077503e-05, 0.0022026843928197584]]",-3.1106875697115037,0.00022905717671253026,"[-0.19835017989740017, 3.304663605220141]","[[0.011305357356810592, -0.00017981527276298386], [-0.00017981527276298367, 0.009970980884281194]]",-3.1261855411036272,0.008584671865484882
"[-0.4615631482828647, 3.2913828893122976]","[[0.0026730515944548556, 8.83519047215754e-06], [8.83519047215754e-06, 0.0027137427091718435]]",-2.7539684204713617,0.00013333728367796404,"[-0.45252038435780767, 3.283595303416475]","[[0.011018530356028764, -7.987530127745362e-05], [-7.987530127745362e-05, 0.010803390489949318]]",-2.801908744696636,0.009114206059593339
"[-0.7008309506179733, 3.0098350089548145]","[[0.003072553747489779, -0.0001575269798022707], [-0.0001575269798022707, 0.002799349175042926]]",-1.7743727322355887,0.00013306544270765165,"[-0.6502178067614739, 3.0605228735786567]","[[0.011012552761227585, -0.00011820459652545392], [-0.00011820459652545397, 0.010912072669207292]]",-1.8041005451546865,0.008791529031748043
"[-0.7410598976714408, 2.5771190001267903]","[[0.002799808234119475, 5.163474240493958e-05], [5.163474240493958e-05, 0.002773327978479284]]",-1.5877651316261019,0.0001691740763917788,"[-0.7204968977932728, 2.6765634215099863]","[[0.010989923979973367, -0.00011846162580023478], [-0.0001184616258002348, 0.010522253224846505]]",-1.584037715014862,0.00841172858495497
"[-0.7482767921569892, 2.1697090730272564]","[[0.0034954496374026024, 1.8981111256799945e-07], [1.8981111256799945e-07, 0.003040945953949475]]",-1.5588281632551757,0.00041940586525836395,"[-0.7510395972427192, 2.234453415998495]","[[0.011300826381387354, 1.5900182814906226e-05], [1.5900182814906253e-05, 0.010922828673058244]]",-1.5856092472105938,0.008875685546314752
"[-0.7577104441337453, 1.7906623630943983]","[[0.002336819401852096, 8.081340941592994e-05], [8.081340941592994e-05, 0.003308845395508157]]",-1.584119854558352,0.0003134815104355039,"[-0.7453795280989702, 1.838719205635563]","[[0.01209233109066552, 3.4911539905699e-06], [3.4911539905698997e-06, 0.011453638843658928]]",-1.5833499786080372,0.009463778234372036
"[-0.7604668237001888, 1.6172628242109794]","[[0.002621729223665354, 8.050413789603954e-05], [8.050413789603954e-05, 0.003190066787994835]]",-1.5319578066579178,0.00031463742129568474,"[-0.7566652700687082, 1.6619987802741396]","[[0.010438553937027941, 5.49791912435788e-05], [5.4979191243578757e-05, 0.011052664071370916]]",-1.5565468670880502,0.008767553346868134
"[-0.747689119885712, 1.5119749611742566]","[[0.0025912235126238866, -5.19885462430678e-05], [-5.19885462430678e-05, 0.003487636633654116]]",-1.4262170048677834,0.0001215957193950852,"[-0.7562668993233255, 1.5549414109001731]","[[0.011768872420757255, 3.3485724279335748e-06], [3.3485724279335743e-06, 0.012817139681844133]]",-1.3932953927236775,0.010243161064213005
"[-0.7430272375177064, 1.1720502417178134]","[[0.002462834303954327, -7.757317989937434e-05], [-7.757317989937434e-05, 0.00344293686646997]]",-1.586300979131492,0.00022984597608049446,"[-0.7294719739796169, 1.3692896057851178]","[[0.005692506664724545, -3.6856524374794035e-05], [-3.685652437479406e-05, 0.006363719547491317]]",-1.4710805777680236,0.003541893391470609
"[-0.7332469014018441, 0.7474706956306785]","[[0.00245276434190046, -0.00010095659508259579], [-0.00010095659508259579, 0.0034404241160820325]]",-1.5418506961645848,0.00031492565882691135,"[-0.7201103733997343, 0.8433620207949741]","[[0.011052842720388702, -1.4558298433101335e-05], [-1.4558298433101407e-05, 0.011220718700707729]]",-1.509541208602503,0.009087575030271326
"[-0.7081815800494203, 0.36025673107164946]","[[0.002671602279071997, -0.00018259757793637814], [-0.00018259757793637814, 0.0029542313607093438]]",-1.2167822103580377,0.0001700188678373811,"[-0.7076434151845987, 0.4166925493733962]","[[0.010984789986069839, -3.6680336138797035e-05], [-3.668033613879705e-05, 0.011301511172038666]]",-1.2945943817572023,0.008944345006148924
"[-0.41605301864065863, 0.07303831270084356]","[[0.003596261053346938, -2.58888534018409e-05], [-2.58888534018409e-05, 0.003395020950090926]]",-0.35367516974140617,0.00023072251653324016,"[-0.468764892595391, 0.11731740356503616]","[[0.011105044700995765, 4.317759827362136e-05], [4.317759827362121e-05, 0.01137278783537619]]",-0.42117807185296385,0.00899374988999939
"[-0.04555883252932017, 0.02841928120465168]","[[0.002542655008936967, 2.3610069483489227e-05], [2.3610069483489227e-05, 0.0020289131508349333]]",0.08563687324481604,0.00031537961763221774,"[-0.10586193557068206, 0.044000800113180104]","[[0.011335898005835843, -6.6928183740943015e-06], [-6.692818374094334e-06, 0.011489807708279473]]",0.10382473889610289,0.008806483555434765
"[0.10253120941589984, 0.022816047068228682]","[[0.0020953433686241546, 2.0647544022321727e-06], [2.0647544022321727e-06, 0.0023471989797922113]]",-0.002352311514391747,0.0003150724549863841,"[0.07908549760515295, 0.03658801407966018]","[[0.010877887856722102, 1.5882125628278323e-05], [1.588212562827829e-05, 0.010537923325513935]]",-0.004314000781825644,0.00910751380248927
"[0.16209528202672735, 0.017062563315732547]","[[0.002102124223904038, 4.74401007144504e-05], [4.74401007144504e-05, 0.002178415671620371]]",0.003488595771951709,0.00023044773635793011,"[0.15394941791796726, 0.013669947163500297]","[[0.010465394431228308, 8.693353411130353e-07], [8.69335341113035e-07, 0.010576618601317507]]",-0.03196078020463577,0.008892347806617866
"[0.3898865409005738, 0.1111532829475329]","[[0.002106463846733306, -4.7512513651227145e-05], [-4.7512513651227145e-05, 0.002188063609126461]]",0.9079395071840891,0.0004244042040359322,"[0.35454268069608286, 0.09779336139667692]","[[0.010602242552705388, -2.898542598935076e-05], [-2.8985425989350793e-05, 0.010740644303721777]]",0.8532359906565179,0.009057836682995733
"[0.5130369697970426, 0.5143329071429259]","[[0.0022853643927864607, 0.00012766195551747552], [0.00012766195551747552, 0.0034510673002920594]]",1.5813561040373756,0.00013354175555141596,"[0.48792285637828003, 0.459312446076871]","[[0.011220528366743877, -0.00012184491259906388], [-0.00012184491259906398, 0.010874351706087422]]",1.565151857855767,0.009465510051420928
"[0.4969183847381289, 0.9263488068558873]","[[0.0026860493609192804, -0.00010022381809049359], [-0.00010022381809049359, 0.0027265021162227636]]",1.5342796468178075,0.0001336929722094211,"[0.5022930743169962, 0.832870255383495]","[[0.010213092410517575, 8.936874840973957e-05], [8.936874840973966e-05, 0.01073218207750421]]",1.5486680186398925,0.008190646235721076
"[0.512703376540673, 1.337310819309823]","[[0.001967502671683404, 7.169483236401109e-05], [7.169483236401109e-05, 0.0031132197550661727]]",1.6086896937212722,0.000133428605255142,"[0.4991927440344127, 1.268725749742722]","[[0.01115876219374305, -6.041815882589775e-05], [-6.041815882589771e-05, 0.010872281283440846]]",1.6188329583380288,0.008816724536658563
"[0.512843464800443, 1.6300072571710813]","[[0.0026640526212988627, -0.00036173611202361714], [-0.00036173611202361714, 0.0029072226395522836]]",1.5804118982031437,0.00041918077861244146,"[0.5093884383860604, 1.58822193528941]","[[0.010854369595669306, 4.707589025627692e-05], [4.707589025627694e-05, 0.011486013919478243]]",1.5640561418642243,0.009190054524711697
"[0.5042986747665004, 1.7058800148549929]","[[0.0018554050558770372, -2.6706055826633983e-06], [-2.6706055826633983e-06, 0.0021751630416492604]]",1.5494994843170198,0.0001331561595398124,"[0.5085844498300014, 1.6936568318542995]","[[0.010278480402591748, -5.337402944958676e-06], [-5.337402944958675e-06, 0.010526586262004213]]",1.558403284754906,0.008819724072371192
"[0.5160367503653233, 1.90516219449178]","[[0.002352907913169628, -0.0003203963519816137], [-0.0003203963519816137, 0.0034245332580221358]]",1.565606450200756,0.0004181154855272353,"[0.5113297022912067, 1.8659903435213463]","[[0.010294713033815602, -5.563651464246653e-06], [-5.56365146424666e-06, 0.010446880706619626]]",1.5603491532638225,0.008781387792139203
"[0.5184804016286547, 2.301511871265571]","[[0.0025369296804686847, -0.0005165445852234891], [-0.0005165445852234891, 0.0031182498067037013]]",1.5868432101928218,0.00013317361992457995,"[0.5145454314645733, 2.221501999604066]","[[0.010324392626105836, -0.00021204585706522105], [-0.0002120458570652211, 0.010733568101435607]]",1.554005662307578,0.008495476676771141
"[0.5112118372558497, 2.716214904231659]","[[0.002833132619178416, -0.00032963338299989213], [-0.00032963338299989213, 0.002910193613923474]]",1.5885143606586072,0.00013274651497212779,"[0.5047252323241502, 2.6376431700035776]","[[0.010933221152827575, -0.00033516344375569867], [-0.0003351634437556983, 0.011028366223386708]]",1.6104603836322224,0.008731611736568556
